    114.32      20.14     408.02     663.79
    111.55      27.16     413.53     667.87
    119.38      26.22     412.30     670.62
    132.81      25.09     412.30     677.12
    139.17      24.70     414.45     675.39
    149.36      27.68     422.48     674.95
    110.76      34.86     414.45     666.38
    122.79      37.46     414.15     670.62
    132.76      36.98     414.45     664.91
    145.20      37.80     421.55     665.65
    154.80      39.30     423.10     667.49
    116.15      44.82     415.99     662.66
    127.18      45.61     416.61     664.17
    141.36      47.11     412.92     663.42
    152.08      46.73     420.01     661.91
    128.59      53.57     417.84     671.04
    139.64      55.14     418.46     666.02
    150.31      53.39     415.07     662.66
