  37  -55.0  -17.1  -55.4  -17.6   29   -3.80 411.65  -3.59 411.01   1.77   5.43   2.21 660.31   2.14 660.62   4.13  18.11 120.53
  38  -55.0    0.0  -56.8   15.6   26    2.39 392.54   1.82 394.32   5.92  18.47   2.15 660.21   2.46 658.80   2.35  10.70 113.37
  39  -55.0   17.1  -60.6   16.3   32    1.98 394.01   1.57 395.25   4.52  13.66  12.00 618.94  10.52 625.24   1.59   6.77 126.57
  40  -55.0   34.3  -55.0   33.3   28   -0.46 401.37  -0.60 401.79   0.33   0.98   8.55 634.78   7.30 639.93   2.01   8.28 133.50
  41  -55.0   51.4  -52.8   56.1   54   -1.28 403.79  -0.03 400.09   0.99   2.93   7.85 637.94   9.31 631.98   1.20   4.90 135.77
  42  -55.0   68.6  -54.9   71.8   60   -2.11 406.15  -0.85 402.48   0.88   2.56   8.55 636.22  10.57 628.24   0.95   3.75 143.34
  43  -55.0   85.7  -54.8   84.3   70   -2.53 407.31  -0.67 401.94   1.51   4.36   6.90 643.16   9.30 633.82   0.82   3.19 147.71
  44  -55.0  102.9  -52.0  104.2  108   -7.97 424.21  -6.52 419.80   0.58   1.76   4.68 649.89   6.78 640.87   0.46   1.98 124.43
  45  -55.0  120.0  -54.8  117.6   97    2.79 391.57   3.97 388.00   4.20  12.70   5.98 644.56   7.02 640.13   0.78   3.32 126.22
  46  -55.0  137.1  -56.3  133.5   61   -3.91 411.77  -2.50 407.52   2.13   6.41   4.16 652.47   5.57 646.52   2.46  10.37 128.24
  47  -55.0  154.3  -56.2  166.1   92   -8.41 424.65  -5.03 414.75   0.61   1.79  -2.46 679.84   2.15 661.40   0.64   2.56 140.42
  48  -55.0  171.4  -55.7  167.3  125   -8.32 424.55  -5.26 415.52   0.33   0.97  -1.15 674.66   3.06 657.61   0.48   1.94 137.48
  49  -45.0 -172.8  -50.1 -166.5   63   -6.68 420.29  -5.12 415.55   2.05   6.23   3.79 653.72   6.34 642.76   3.30  14.18 124.52
  50  -45.0 -158.4  -46.8 -156.7  116   -6.34 419.21  -5.90 417.88   0.82   2.48   2.34 660.00   3.12 656.66   0.44   1.88 125.46
  51  -45.0 -144.0  -46.4 -145.5  145   -6.06 417.55  -4.09 411.84   0.75   2.17   2.98 658.36   5.84 647.19   0.53   2.07 146.55
  52  -45.0 -129.6  -44.4 -127.8  126   -5.55 416.37  -2.58 407.61   0.15   0.44   2.63 659.35   6.51 643.64   0.48   1.94 137.62
  53  -45.0 -115.2  -43.4 -119.8   82   -7.04 421.19  -3.52 410.59   0.83   2.50  -0.23 670.97   3.85 653.77   0.70   2.95 128.90
  54  -45.0 -100.8  -44.6  -99.7   47   -0.66 402.03   5.42 383.34  10.86  33.38  -0.62 672.73   3.38 655.11   0.83   3.66 119.29
  55  -45.0  -86.4  -46.2  -93.6   28    2.50 392.42   5.89 382.15   6.84  20.73  -0.32 671.37   2.75 658.24   0.88   3.76 125.41
  57  -45.0  -57.6  -51.2  -51.6   23    5.24 383.73   5.63 382.52  14.71  45.66   4.74 648.66   4.69 648.88   4.02  18.10 115.11
  58  -45.0  -43.2  -49.5  -43.3   43    0.32 399.01   0.35 398.92   1.19   3.68   5.68 644.56   5.12 647.07   1.46   6.54 116.11
  59  -45.0  -28.8  -45.8  -29.6   33   -0.93 402.85   0.02 399.94   3.94  12.08   5.36 646.50   6.24 642.64   4.75  20.82 120.53
  60  -45.0  -14.4  -44.0  -16.5   26   -1.31 403.90   0.46 398.63   8.99  26.75   4.74 650.47   6.23 644.33   1.30   5.36 133.63
  61  -45.0    0.0  -44.4  -10.1   20   -2.28 406.92  -3.22 409.78   6.02  18.28   6.08 643.88   7.13 639.37   1.83   7.86 124.29
  62  -45.0   14.4  -44.1   17.0   15   -4.27 412.60  -4.43 413.07   2.75   8.11   8.07 637.32   5.50 647.73   9.43  38.18 137.37
  63  -45.0   28.8  -42.8   32.0   22    0.40 398.81   0.17 399.50   3.74  11.08  -4.83 689.72  -3.58 684.62  12.12  49.50 135.43
  64  -45.0   43.2  -45.6   46.8   55   -1.64 404.99  -0.29 400.88   0.70   2.13   6.16 643.40   7.24 638.74   0.35   1.51 123.17
  65  -45.0   57.6  -45.7   55.5   69   -1.73 405.28   0.04 399.88   0.69   2.11   7.79 636.20   9.96 626.78   0.46   2.00 122.51
  66  -45.0   72.0  -42.9   74.7   72   -4.20 412.44  -1.81 405.36   1.12   3.32   2.83 658.44   5.49 647.58   3.25  13.27 135.77
  67  -45.0   86.4  -42.9   91.6   91   -6.34 418.83  -3.48 410.33   0.71   2.11  -0.57 672.34   2.97 657.82   1.77   7.26 134.14
  68  -45.0  100.8  -45.6  101.4  149   -6.93 421.05  -4.72 414.34   0.60   1.82   1.56 663.30   4.29 651.57   0.52   2.23 124.57
  69  -45.0  115.2  -46.0  106.9  100   -4.97 414.99  -4.29 412.94   2.46   7.42   3.32 655.94   4.96 649.00   0.88   3.73 127.87
  70  -45.0  129.6  -50.5  133.2   48   -4.36 413.00  -2.94 408.77   1.27   3.79   3.67 654.81   5.05 649.10   0.86   3.56 132.72
  71  -45.0  144.0  -42.5  142.7   41   -2.68 407.82  -0.92 402.69   2.19   6.39   3.17 657.43   5.11 649.73   1.40   5.55 142.30
  72  -45.0  158.4  -49.0  164.6   41   -4.50 412.98  -0.87 402.51  10.87  31.35  -1.04 674.03   3.60 656.05   1.52   5.89 148.05
  73  -45.0  172.8  -51.8  166.9   45   -7.64 422.08  -3.26 409.42   5.24  15.14  -0.42 671.63   4.28 653.35   0.81   3.15 147.73
  74  -35.0 -173.8  -29.2 -172.3   41   -6.65 419.92  -6.64 419.89   0.70   2.10   1.20 664.99   1.18 665.07   1.44   6.01 130.44
  75  -35.0 -161.4  -32.2 -159.8   67   -5.64 416.30  -5.85 416.91   1.52   4.39   4.44 652.73   3.92 654.75   0.64   2.49 147.66
  76  -35.0 -149.0  -33.3 -146.4   97   -5.17 415.16  -4.04 411.84   0.77   2.26   3.51 655.96   4.76 650.96   0.20   0.80 140.06
  77  -35.0 -136.6  -31.6 -135.4  147   -5.70 417.23  -3.63 410.97   0.68   2.06   4.35 651.49   6.71 641.45   0.43   1.83 126.36
  78  -35.0 -124.1  -35.3 -127.2  114   -4.42 413.59  -1.31 404.03   0.57   1.75   2.26 660.04   5.79 644.49   0.68   3.00 119.39
  79  -35.0 -111.7  -35.3 -127.2  114   -4.42   0.00  -1.31   0.00   0.57   0.00   2.26   0.00   5.79   0.00   0.68   0.00 119.39
  80  -35.0  -99.3  -40.1  -97.7   32   -0.07 400.22   1.29 396.02  11.25  34.75   3.55 654.19   6.52 640.96   2.06   9.17 117.76
  84  -35.0  -49.7  -33.5  -43.0   16   -0.19 400.58  -0.70 402.14   0.34   1.04   7.09 639.23   5.70 645.26   0.60   2.60 122.49
  85  -35.0  -37.2  -33.5  -39.6   33    1.19 396.39   0.93 397.18   0.63   1.91   6.93 640.23   5.62 645.85   0.93   4.00 124.61
  86  -35.0  -24.8  -33.6  -28.2   16    3.72 389.14   2.24 393.46   7.93  23.15   4.61 651.71   4.58 651.83   0.87   3.45 142.94
  87  -35.0  -12.4  -37.3   -7.4   17   -6.17 418.01  -5.45 415.91   0.87   2.54   4.98 650.25   6.11 645.76   0.58   2.30 142.90
  88  -35.0    0.0  -34.3   -7.4   19   -4.41 413.12  -4.68 413.93   0.90   2.68   6.06 645.03   5.99 645.32   3.37  13.88 133.22
  89  -35.0   12.4  -33.3   17.1   18    2.89 391.66   0.48 398.62   0.49   1.41   7.52 640.85   4.64 652.02   3.21  12.44 148.64
  90  -35.0   24.8  -33.6   25.2   32    3.69 389.38   1.61 395.37   0.82   2.36  13.28 618.72   9.70 632.54   2.08   8.03 149.76
  91  -35.0   37.2  -33.8   36.3   31   -0.65 401.89  -2.22 406.45   0.59   1.72   8.97 634.70   6.51 644.38   0.60   2.36 144.81
  92  -35.0   49.7  -35.6   43.2   21   -1.52 404.63  -1.72 405.24   0.73   2.22   9.57 628.68   8.58 632.95   0.75   3.24 123.88
  93  -35.0   62.1  -31.3   65.1   68   -1.70 405.09  -0.07 400.21   0.49   1.47   5.15 648.49   6.77 641.73   1.77   7.39 130.23
  94  -35.0   74.5  -31.8   74.0   88   -4.17 412.49  -1.85 405.54   0.90   2.70   3.61 654.93   6.24 643.94   1.43   5.97 130.50
  95  -35.0   86.9  -33.6   90.4  128   -6.59 420.02  -4.17 412.67   0.73   2.22   4.97 648.65   8.28 634.43   0.75   3.22 124.82
  96  -35.0   99.3  -36.0   95.1  114   -4.95 414.96  -2.94 408.89   0.73   2.21   3.82 653.75   6.31 643.15   0.76   3.23 126.97
  97  -35.0  111.7  -37.5  110.1   43   -3.36 409.58  -3.92 411.18   0.65   1.85   5.32 649.83   5.21 650.24   3.64  13.80 154.31
  98  -35.0  124.1  -37.4  121.0   29   -2.89 408.29  -4.83 413.85   0.63   1.81   4.83 651.49   4.23 653.79   1.62   6.21 151.83
  99  -35.0  136.6  -32.0  140.9   62   -1.21 403.62  -2.33 406.98   1.01   3.03   5.93 645.24   4.49 651.25   0.85   3.55 130.60
 100  -35.0  149.0  -32.0  143.9   54   -1.16 403.44  -1.38 404.09   1.52   4.50   3.16 657.10   3.65 655.09   0.68   2.78 135.08
 101  -35.0  161.4  -31.6  164.5   32    1.99 394.28   4.05 388.36   7.61  21.86   3.90 655.00   8.21 638.41   0.97   3.73 150.40
 102  -35.0  173.8  -31.2  172.4   34    5.70 383.53   5.79 383.27   7.90  22.83   3.72 655.53   8.95 635.18   3.65  14.20 147.81
 103  -25.0 -174.5  -21.1 -173.8   97   -6.15 418.72  -5.02 415.28   0.99   3.01   2.05 661.15   2.94 657.31   1.76   7.60 123.08
 104  -25.0 -163.6  -23.6 -163.0  110   -5.66 416.52  -5.66 416.52   0.50   1.46   5.20 649.37   5.17 649.49   0.49   1.94 142.04
 105  -25.0 -152.7  -20.8 -149.5  248   -5.46 416.36  -3.88 411.62   0.87   2.61   2.25 660.60   3.81 654.09   0.58   2.42 130.73
 106  -25.0 -141.8  -21.5 -143.1  314   -9.06 427.26  -6.96 420.94   0.19   0.57   2.88 657.86   4.88 649.43   0.31   1.31 128.26
 107  -25.0 -130.9  -25.5 -132.4  208   -6.66 420.23  -3.62 410.99   0.79   2.40   3.24 656.08   6.30 642.93   0.46   1.98 124.31
 108  -25.0 -120.0  -21.6 -121.0   91   -5.68 417.02  -2.19 406.56   1.26   3.77  -0.33 671.38   3.62 654.88   0.43   1.80 130.74
 109  -25.0 -109.1  -21.4 -112.4   35   -6.39 419.50  -2.93 408.94   3.60  10.99  -1.83 677.94   2.29 660.06   0.72   3.12 122.73
 110  -25.0  -98.2  -20.2  -97.9   14   -7.61 422.17  -5.49 415.99   0.39   1.14   0.97 666.17   3.09 657.79   0.87   3.44 143.28
 111  -25.0  -87.3  -18.7  -85.4   52   -2.15 406.55  -0.65 401.98   0.99   3.01   4.78 649.36   6.79 640.68   0.51   2.20 123.26
 112  -25.0  -76.4  -19.0  -78.4   38   -2.43 407.35  -1.76 405.32   2.09   6.32   3.74 654.09   4.24 651.96   0.99   4.21 126.10
 113  -25.0  -65.5  -21.3  -64.8   22   -3.65 410.93  -4.87 414.59   1.63   4.88   1.64 663.15   0.21 669.12   0.97   4.05 130.37
 114  -25.0  -54.5  -21.0  -50.7   47   -3.46 410.14  -6.54 419.17   1.44   4.22   5.83 646.69   2.60 659.60   5.78  23.11 140.92
 115  -25.0  -43.6  -18.5  -42.2   99    6.38 380.29   3.16 390.24   4.67  14.43   6.86 639.45   1.31 664.17   1.01   4.50 117.67
 116  -25.0  -32.7  -20.0  -34.9   80   -0.94 402.95  -3.44 410.79   3.12   9.78   4.94 647.25   0.55 667.47   0.98   4.51 111.13
 117  -25.0  -21.8  -25.2  -23.7   33   -0.88 402.62  -0.88 402.62   4.70  14.02   4.25 652.41   3.23 656.63   6.08  25.16 132.02
 118  -25.0  -10.9  -27.1  -13.7   20   -5.01 414.63  -4.56 413.31   0.92   2.69   4.52 652.07   4.66 651.51   5.29  20.98 142.90
 119  -25.0    0.0  -27.1    9.5   26   -6.00 418.14  -6.07 418.35   7.85  23.73   6.58 642.00   5.62 646.09   2.86  12.17 126.51
 120  -25.0   10.9  -25.7    9.5   14    4.60 386.06   1.83 394.45   1.89   5.73  11.92 619.04   8.39 634.13   0.57   2.44 125.25
 121  -25.0   21.8  -30.0   25.3   31    4.56 386.87   0.75 397.84   3.06   8.81  14.82 612.77   9.62 632.85   2.78  10.73 149.77
 122  -25.0   32.7  -26.8   30.5   36    3.20 390.82   0.15 399.57   1.14   3.27  10.97 627.95   5.95 647.19   1.54   5.90 151.19
 123  -25.0   43.6  -25.0   44.9   40    0.06 399.83  -0.62 401.80   1.25   3.62   7.90 639.15   6.36 645.16   1.09   4.26 146.93
 124  -25.0   54.5  -21.6   57.0   93   -1.99 405.81  -1.13 403.30   0.55   1.61   2.36 660.64   3.40 656.51   0.67   2.66 142.29
 125  -25.0   65.5  -24.3   66.5  175   -4.47 413.16  -2.70 407.95   0.51   1.50   2.78 658.79   4.86 650.40   0.67   2.70 138.62
 126  -25.0   76.4  -23.9   74.6  183   -5.26 415.58  -3.08 409.13   0.95   2.81   1.70 663.06   4.52 651.54   0.70   2.86 135.63
 127  -25.0   87.3  -26.1   88.9  180   -3.43 410.39  -1.45 404.39   0.91   2.76   4.44 651.02   7.33 638.66   0.84   3.59 125.60
 128  -25.0   98.2  -26.4   93.0  100   -3.67 411.17  -2.67 408.13   4.39  13.37   3.51 654.84   6.10 643.66   0.74   3.20 123.00
 129  -25.0  109.1  -22.5  107.7   36    3.42 389.71   1.62 395.12   7.14  21.49  -0.61 672.57   0.54 667.72   1.73   7.29 128.20
 131  -25.0  130.9  -25.8  132.3   56    0.26 399.21  -7.47 422.69   4.43  13.46   9.77 628.03   9.45 629.40   6.08  26.12 124.14
 132  -25.0  141.8  -22.9  144.6  125   -4.36 413.12  -6.66 420.04   0.39   1.17   4.45 651.24   6.53 642.48   6.68  28.15 128.01
 133  -25.0  152.7  -21.7  149.8  127   -2.58 407.76  -2.56 407.70   0.16   0.48   2.66 658.79   2.22 660.64   0.49   2.07 128.40
 134  -25.0  163.6  -22.3  160.5   71   -1.54 404.50   0.02 399.94   2.70   7.88   1.37 664.57   3.61 655.68   0.82   3.25 142.75
 135  -25.0  174.5  -27.2  175.1   62    1.59 395.35   0.43 398.74  11.63  34.02  -1.05 674.18   2.07 661.76   0.72   2.87 141.17
 136  -15.0 -174.9  -14.9 -176.1  117   -6.58 419.41  -5.54 416.34   0.77   2.27   2.94 658.10   3.25 656.84   0.45   1.82 137.69
 137  -15.0 -164.6  -13.8 -160.7  168   -4.74 414.43  -3.42 410.41   0.68   2.07   2.74 658.17   3.87 653.29   0.40   1.73 124.00
 138  -15.0 -154.3  -14.2 -152.2  382   -5.45 416.55  -4.07 412.36   0.35   1.06   3.01 657.07   4.80 649.38   0.09   0.39 124.53
