1 -23.60 -83.19 406.19	660.39	254.20
2 11.70 -79.41 408.02	659.63	251.61
3 66.03 -77.70 403.73	NaN	NaN
4 108.63 -78.43 410.77	652.12	241.35
5 175.16 -79.16 409.85	651.74	241.89
6 -151.45 -79.74 412.61	655.50	242.89
7 -61.69 -80.17 409.85	NaN	NaN
8 0.20 -69.22 413.22	667.49	254.27
9 31.32 -69.92 410.77	657.37	246.60
10 63.91 -70.59 415.99	662.29	246.29
11 84.18 -71.37 418.77	658.12	239.35
12 113.44 -73.11 415.07	655.50	240.43
13 145.09 -71.26 407.41	650.99	243.58
14 175.34 -71.56 413.53	651.74	238.21
15 -159.50 -71.40 413.84	653.24	239.40
16 -139.52 -70.13 411.08	667.12	256.05
17 -89.33 -68.61 417.23	NaN	NaN
18 -69.40 -68.14 411.69	661.53	249.84
19 -36.84 -69.34 416.92	655.12	238.20
20 0.54 -64.66 414.15	NaN	NaN
21 20.29 -64.07 410.77	646.12	235.35
22 39.86 -62.58 413.84	660.01	246.17
23 60.29 -63.79 415.38	662.29	246.91
24 75.40 -64.48 415.99	656.62	240.63
25 99.22 -62.87 418.46	653.24	234.78
26 118.64 -61.62 411.38	663.42	252.04
27 137.58 -62.87 409.24	649.11	239.87
28 160.81 -63.42 NaN	NaN	NaN
29 177.42 -62.10 NaN	NaN	NaN
30 -156.86 -61.30 420.62	661.53	240.90
31 -143.73 -60.84 421.24	661.15	239.91
32 -131.16 -59.79 423.72	NaN	NaN
33 -96.22 -62.07 420.93	649.11	228.18
34 -82.29 -62.28 418.46	666.75	248.29
35 -66.25 -64.06 414.45	669.80	255.35
36 -39.66 -63.85 415.38	656.25	240.87
37 -25.18 -63.59 418.77	665.28	246.51
38 1.78 -52.49 423.41	660.77	237.36
39 12.92 -51.87 424.66	662.29	237.63
40 33.71 -54.30 414.15	NaN	NaN
41 48.39 -53.73 411.38	671.89	260.51
42 59.63 -53.40 409.24	646.87	237.63
43 78.18 -53.06 412.00	650.24	238.24
44 93.24 -52.19 416.61	661.91	245.30
45 106.38 -52.96 415.07	662.66	247.59
46 122.57 -53.91 411.38	661.53	250.15
47 137.63 -53.42 410.16	659.63	249.47
48 153.49 -53.93 412.61	658.88	246.27
49 170.60 -55.04 NaN	653.99	NaN
50 -176.04 -53.03 NaN	655.12	NaN
51 -158.11 -54.05 429.01	667.12	238.11
52 -145.13 -53.98 423.72	666.02	242.29
53 -132.27 -52.55 421.55	664.91	243.36
54 -120.03 -52.30 424.66	664.54	239.89
55 -97.64 -54.03 421.86	655.87	234.01
