    26.700   -150.900    426.080      7.986    659.930      0.491
    24.300   -142.800    425.140      7.046    662.720      3.281
    23.800   -132.900    421.810      3.716    671.540     12.101
    30.100   -122.600    409.180     -8.914    666.670      7.231
    28.900   -108.200    430.000     11.906    659.650      0.211
    27.900   -102.800    417.920     -0.174    659.750      0.311
    27.700    -84.100    410.190     -7.904    676.860     17.421
    26.300    -75.800    415.060     -3.034    643.560    -15.880
    23.800    -68.400    416.690     -1.404    648.800    -10.639
    25.400    -49.700    417.250     -0.844    641.040    -18.399
    23.500    -44.100    414.720     -3.374    647.980    -11.460
    23.100    -31.800    417.810     -0.284    662.190      2.751
    25.300    -20.500    410.940     -7.154    655.660     -3.779
    23.900    -12.200    405.210    -12.884    654.770     -4.669
    27.000     -3.800    414.420     -3.674    650.730     -8.709
    26.500     11.800    417.600     -0.494    656.460     -2.979
    25.700     23.600    420.310      2.216    668.430      8.991
    23.800     31.900    426.430      8.336    655.110     -4.329
    25.400     42.100    409.490     -8.604    663.360      3.921
    25.700     56.000    416.620     -1.474    662.020      2.581
    25.500     67.600    433.340     15.246    653.300     -6.139
    23.300     76.500    423.300      5.206    679.480     20.041
    26.400     86.600    415.120     -2.974    678.390     18.951
    27.900    100.700    418.380      0.286    655.000     -4.439
    28.000    109.300    419.410      1.316    651.920     -7.519
    25.200    118.400    423.560      5.466    671.390     11.951
    24.400    130.900    423.140      5.046    681.910     22.471
    25.800    139.500    419.740      1.646    653.560     -5.879
    24.100    152.800    420.750      2.656    653.490     -5.949
    27.500    166.900    413.750     -4.344    655.690     -3.749
    28.400    174.300    428.610     10.516    658.340     -1.099
    16.400   -173.900    416.550     -1.544    655.450     -3.989
    15.300   -163.400    414.640     -3.454    662.250      2.811
    15.400   -154.100    418.590      0.496    666.260      6.821
    16.900   -142.600    420.940      2.846    667.370      7.931
    14.800   -134.600    421.480      3.386    662.750      3.311
    13.600   -130.700    421.110      3.016    656.440     -2.999
    14.700   -111.200    418.250      0.156    665.440      6.001
    14.600   -102.800    420.780      2.686    652.890     -6.549
    15.900    -93.700    414.180     -3.914    654.510     -4.929
    16.900    -69.700    420.600      2.506    656.900     -2.539
    15.000    -61.800    420.170      2.076    651.770     -7.669
    15.000    -48.400    422.990      4.896    650.090     -9.349
    14.700    -38.700    411.960     -6.134    663.390      3.951
    14.600    -33.000    412.520     -5.574    659.380     -0.059
    15.700    -19.000    418.960      0.866    652.980     -6.459
    14.500     -9.800    418.480      0.386    654.720     -4.719
    11.800     -3.200    420.110      2.016    665.300      5.861
    13.300     12.000    417.680     -0.414    656.580     -2.859
    14.100     18.600    410.460     -7.634    649.890     -9.549
    15.100     32.700    430.820     12.726    639.750    -19.689
    15.600     38.300    430.880     12.786    650.460     -8.979
    14.200     52.500    429.780     11.686    659.730      0.291
    15.100     61.200    431.600     13.506    652.720     -6.719
    14.100     74.900    414.870     -3.224    655.310     -4.129
    14.400     78.400    409.650     -8.444    661.200      1.761
    13.900     93.800    402.780    -15.314    662.670      3.231
    15.500    103.900    404.440    -13.654    666.300      6.861
    16.200    114.200    405.650    -12.444    657.670     -1.769
    15.300    123.300    418.030     -0.064    664.420      4.981
    17.500    133.500    420.520      2.426    682.050     22.610
    16.200    143.800    424.100      6.006    667.080      7.641
    15.700    152.500    428.190     10.096    664.850      5.411
    12.900    167.300    426.270      8.176    657.820     -1.619
    17.700    175.800    430.140     12.046    645.890    -13.549
     3.900   -176.300    424.110      6.016    656.760     -2.679
     4.200   -163.200    429.850     11.756    662.730      3.291
     3.900   -155.300    420.440      2.346    666.110      6.671
     5.000   -145.200    418.300      0.206    668.030      8.591
     6.400   -135.000    421.540      3.446    655.160     -4.279
     5.900   -130.400    431.150     13.056    647.760    -11.679
     2.500   -115.900    423.930      5.836    655.280     -4.159
     5.700   -104.200    428.570     10.476    664.860      5.421
     4.700    -95.600    421.890      3.796    659.000     -0.439
     4.800    -82.800    429.580     11.486    653.880     -5.559
     4.200    -72.500    429.650     11.556    688.740     29.300
     4.100    -66.100    424.040      5.946    687.440     28.000
     5.800    -54.700    423.160      5.066    646.840    -12.599
     5.500    -42.400    419.760      1.666    656.710     -2.729
     6.700    -36.200    412.290     -5.804    663.800      4.361
     4.600    -23.800    420.860      2.766    662.200      2.761
     3.000    -13.100    424.350      6.256    655.740     -3.699
     4.000     -5.600    417.070     -1.024    651.690     -7.749
     4.500      3.200    412.740     -5.354    652.150     -7.289
     4.800     15.500    414.700     -3.394    646.270    -13.169
     4.200     23.300    417.730     -0.364    649.070    -10.369
     5.700     36.000    427.530      9.436    645.150    -14.289
     5.400     48.600    409.440     -8.654    644.060    -15.380
     6.000     56.500    425.280      7.186    656.350     -3.089
     5.500     65.400    424.880      6.786    656.080     -3.359
     5.100     77.200    415.710     -2.384    660.160      0.721
     2.700     82.100    411.510     -6.584    656.290     -3.149
     3.700     94.400    409.650     -8.444    661.860      2.421
     5.800    105.300    412.210     -5.884    673.230     13.790
     5.900    115.400    407.660    -10.434    661.130      1.691
     4.600    125.100    420.890      2.796    665.130      5.691
     6.000    134.800    410.200     -7.894    661.830      2.391
     7.800    143.800    423.520      5.426    660.150      0.711
     3.100    152.500    424.280      6.186    651.350     -8.089
     6.000    168.900    435.350     17.256    648.780    -10.659
     4.500    176.100    428.650     10.556    659.970      0.531
    -4.300   -176.700    412.670     -5.424    658.080     -1.359
    -5.200   -161.600    422.130      4.036    657.900     -1.539
    -6.800   -155.800    421.290      3.196    654.440     -4.999
    -5.300   -145.400    418.010     -0.084    655.800     -3.639
    -3.800   -134.400    417.490     -0.604    652.540     -6.899
    -4.400   -128.500    422.900      4.806    662.280      2.841
    -2.500   -115.300    429.000     10.906    652.180     -7.259
    -6.100   -103.600    425.080      6.986    668.130      8.691
    -6.500    -98.500    422.820      4.726    666.550      7.111
    -9.100    -83.200    422.680      4.586    650.450     -8.989
    -7.200    -75.800    429.040     10.946    662.350      2.911
    -3.400    -64.800    419.750      1.656    671.790     12.351
    -6.600    -53.800    425.720      7.626    679.660     20.221
    -7.600    -44.800    429.510     11.416    668.460      9.021
    -5.500    -36.400    424.560      6.466    662.820      3.381
    -4.000    -24.200    418.480      0.386    663.790      4.351
    -1.800    -12.700    425.980      7.886    649.680     -9.759
    -1.800     -7.400    416.070     -2.024    647.550    -11.889
    -3.200      3.000    419.400      1.306    651.010     -8.429
    -1.700     14.000    419.320      1.226    644.350    -15.089
    -4.400     22.300    425.240      7.146    655.370     -4.069
    -5.600     35.100    407.810    -10.284    633.340    -26.099
    -7.900     46.400    413.140     -4.954    644.320    -15.119
    -6.400     55.900    417.710     -0.384    656.950     -2.489
    -6.400     67.200    416.190     -1.904    662.310      2.871
    -2.000     77.800    413.700     -4.394    658.770     -0.669
    -3.700     84.900    416.230     -1.864    653.650     -5.789
    -5.900     93.000    419.710      1.616    654.600     -4.839
    -6.500    104.900    424.790      6.696    654.870     -4.569
    -4.900    115.300    425.400      7.306    681.490     22.050
    -3.400    124.500    421.990      3.896    675.030     15.591
    -3.300    132.700    408.060    -10.034    672.520     13.081
    -7.900    144.900    403.890    -14.204    674.760     15.321
    -7.000    156.300    409.540     -8.554    651.340     -8.099
    -7.500    166.900    423.020      4.926    658.280     -1.159
    -5.600    174.800    423.180      5.086    658.550     -0.889
   -15.800   -174.600    413.820     -4.274    669.890     10.451
   -15.400   -161.500    421.080      2.986    652.790     -6.649
   -14.700   -152.800    424.590      6.496    653.630     -5.809
   -16.600   -145.300    424.410      6.316    652.620     -6.819
   -15.500   -135.200    420.320      2.226    658.020     -1.419
   -16.100   -125.200    417.570     -0.524    666.620      7.181
   -17.400   -116.900    411.040     -7.054    669.010      9.571
   -11.700   -101.600    420.790      2.696    668.520      9.081
   -14.900    -87.800    421.610      3.516    652.880     -6.559
   -14.400    -81.700    425.050      6.956    655.400     -4.039
   -13.900    -75.400    426.330      8.236    662.290      2.851
   -13.100    -59.300    420.030      1.936    674.000     14.560
   -13.700    -49.100    418.540      0.446    672.850     13.411
   -13.800    -41.800    426.720      8.626    664.990      5.551
   -12.300    -31.800    424.080      5.986    649.800     -9.639
   -11.800    -22.000    411.230     -6.864    657.140     -2.299
   -13.000    -11.400    409.720     -8.374    661.540      2.101
   -13.500     -1.100    402.300    -15.794    669.660     10.221
   -18.200     21.100    414.650     -3.444    667.140      7.701
   -16.400     32.300    422.650      4.556    646.090    -13.349
   -16.200     43.400    415.330     -2.764    651.140     -8.299
   -15.200     52.800    408.920     -9.174    666.640      7.201
   -16.000     62.000    414.940     -3.154    665.920      6.481
   -14.200     71.800    417.140     -0.954    658.550     -0.889
   -14.700     85.200    425.050      6.956    659.010     -0.429
   -13.900     90.200    421.290      3.196    652.740     -6.699
   -12.800    102.300    412.470     -5.624    637.790    -21.649
   -10.600    110.100    421.670      3.576    653.080     -6.359
   -12.100    124.200    432.270     14.176    653.420     -6.019
   -13.600    133.600    429.050     10.956    666.210      6.771
